198,29,198,36,308,26,308,20
50,50,50,56,246,49,246,41
265,42,265,52,293,50,293,42
50,60,50,66,76,66,76,60
170,61,170,72,224,70,224,62
122,62,122,70,158,70,158,62
100,76,100,84,130,84,130,74
149,76,149,84,209,84,209,76
226,76,226,84,246,84,246,76
245,97,245,105,297,105,297,96
42,121,42,125,350,118,350,110
42,132,42,140,305,141,305,129
42,145,42,154,92,153,92,145
42,158,42,165,69,165,69,158
174,169,174,178,217,178,217,169
261,173,261,176,312,177,312,170
42,181,42,190,337,200,337,192
184,182,184,190,222,190,222,181
294,182,294,190,350,190,350,182
42,205,42,212,124,212,124,204
261,205,261,212,316,212,316,204
42,217,42,224,220,224,220,216
42,229,42,237,332,237,332,229
42,250,42,257,214,258,214,250
272,272,272,280,348,278,348,273
101,271,102,280,210,281,210,272
46,306,46,314,217,305,217,297
200,306,200,314,348,313,348,308
162,316,162,322,185,322,185,316
113,333,113,341,141,341,141,333
232,333,232,341,266,341,266,333
321,333,321,338,337,338,337,333
150,334,150,344,194,344,194,334
284,334,284,341,296,341,296,334
162,346,162,354,194,354,194,346
233,346,233,353,266,353,266,346
137,358,137,366,207,366,206,356
42,358,42,368,82,368,82,358
82,358,82,368,132,368,132,358
46,384,46,392,222,392,222,384
46,397,46,405,85,405,85,397
188,397,188,405,212,405,212,397
118,401,118,404,133,404,133,401
46,410,46,416,84,417,84,409
188,409,188,414,210,416,210,410
89,434,89,444,157,444,157,434
216,434,216,444,265,444,265,434
268,434,268,442,349,444,349,434
45,464,45,474,136,472,136,464
156,464,156,473,196,474,196,465
212,471,211,481,242,483,243,473
261,471,260,481,289,483,289,473
304,472,304,481,357,481,357,473
110,473,110,482,136,482,136,473
262,496,262,505,354,505,354,496
290,505,290,514,322,514,322,505
