224,10,241,10,241,20,224,20
241,10,253,10,253,20,241,20
253,10,286,10,286,20,253,20
204,20,221,20,221,28,204,28
220,20,233,20,233,26,220,26
298,20,308,20,308,26,298,26
253,21,269,21,269,28,253,28
269,21,288,21,288,28,269,28
198,29,209,29,209,36,198,36
208,29,254,29,254,36,208,36
254,29,268,29,268,36,254,36
268,29,278,29,278,37,268,37
278,29,290,29,290,36,278,36
290,29,312,29,312,36,290,36
122,40,140,40,140,50,122,50
178,40,204,40,204,49,178,49
69,41,81,41,81,52,69,52
100,41,121,41,121,49,100,49
140,41,161,41,161,49,140,49
161,41,180,41,180,50,161,50
204,41,246,41,246,49,204,49
46,42,69,42,69,50,46,50
265,42,277,42,277,52,265,52
276,42,293,42,293,50,276,50
160,49,185,49,185,57,160,57
50,50,62,50,62,56,50,56
50,60,76,60,76,66,50,66
170,61,196,61,196,72,170,72
122,62,158,62,158,70,122,70
196,62,224,62,224,70,196,70
116,74,130,74,130,84,116,84
100,76,116,76,116,84,100,84
149,76,173,76,173,84,149,84
185,76,209,76,209,84,185,84
226,76,246,76,246,84,226,84
272,96,297,96,297,105,272,105
245,97,254,97,254,105,245,105
254,98,272,98,272,105,254,105
94,109,118,109,118,118,94,118
153,109,170,109,170,118,153,118
170,109,194,109,194,118,170,118
194,109,206,109,206,118,194,118
206,109,229,109,229,118,206,118
229,109,253,109,253,118,229,118
42,110,64,110,64,120,42,120
118,110,129,110,129,118,118,118
130,110,153,110,153,118,130,118
253,110,289,110,289,118,253,118
288,110,305,110,305,118,288,118
305,110,318,110,318,118,305,118
318,110,338,110,338,118,318,118
338,110,350,110,350,118,338,118
64,112,93,112,93,120,64,120
50,120,68,120,68,126,50,126
68,120,89,120,89,126,68,126
88,120,109,120,109,126,88,126
42,121,50,121,50,125,42,125
278,129,305,129,305,141,278,141
42,132,56,132,56,140,42,140
54,132,68,132,68,140,54,140
69,132,84,132,84,140,69,140
86,132,133,132,133,141,86,141
133,132,141,132,141,141,133,141
141,132,150,132,150,140,141,140
156,132,181,132,181,141,156,141
181,132,200,132,200,141,181,141
200,132,218,132,218,141,200,141
222,132,241,132,241,141,222,141
241,131,259,133,258,141,240,140
258,132,277,132,277,141,258,141
42,145,63,143,64,152,42,154
64,145,77,145,77,153,64,153
77,145,92,145,92,153,77,153
42,158,56,158,56,165,42,165
56,158,69,158,69,165,56,165
174,169,217,169,217,178,174,178
281,169,298,169,298,177,281,177
300,170,312,170,312,177,300,177
261,173,280,173,280,176,261,176
42,181,53,181,53,190,42,190
212,181,222,181,222,190,212,190
52,182,69,182,69,192,52,192
69,182,84,182,84,190,69,190
84,182,109,182,109,190,84,190
184,182,201,182,201,190,184,190
200,182,213,182,213,190,200,190
294,182,312,182,312,190,294,190
313,182,325,182,325,190,313,190
324,182,350,182,350,190,324,190
251,192,275,190,276,198,252,200
42,192,52,192,52,198,42,198
65,192,88,192,88,198,65,198
88,192,104,192,104,197,88,197
121,192,132,192,132,200,121,200
132,192,144,192,144,200,132,200
144,192,173,192,173,200,144,200
184,192,194,192,194,200,184,200
208,192,228,192,228,200,208,200
241,192,252,192,252,200,241,200
276,192,293,192,293,200,276,200
292,192,308,192,308,200,292,200
308,192,337,192,337,200,308,200
50,193,65,193,65,201,50,201
194,193,209,193,209,200,194,200
56,204,65,204,65,212,56,212
65,204,85,204,85,212,65,212
98,204,124,204,124,212,98,212
302,204,316,204,316,212,302,212
42,205,56,205,56,212,42,212
85,205,97,205,97,212,85,212
261,205,277,205,277,212,261,212
278,205,289,205,289,212,278,212
292,205,302,205,302,212,292,212
122,216,142,216,142,224,122,224
146,216,181,216,181,224,146,224
181,216,194,216,194,224,181,224
194,216,206,216,206,224,194,224
205,216,220,216,220,224,205,224
42,217,65,217,65,224,42,224
65,217,78,217,78,224,65,224
77,217,86,217,86,225,77,225
86,217,109,217,109,224,86,224
108,217,121,217,121,224,108,224
42,229,57,229,57,237,42,237
146,229,164,229,164,237,146,237
174,229,186,229,186,237,174,237
186,229,205,229,205,237,186,237
205,229,233,229,233,237,205,237
265,229,286,229,286,237,265,237
296,229,305,229,305,237,296,237
306,229,332,229,332,237,306,237
57,230,73,230,73,237,57,237
73,230,85,230,85,237,73,237
86,230,98,230,98,237,86,237
98,230,112,230,112,237,98,237
110,230,120,230,120,236,110,236
137,230,146,230,146,237,137,237
233,230,257,230,257,237,233,237
286,230,297,230,297,237,286,237
120,232,136,232,136,237,120,237
164,232,176,232,176,238,164,238
42,238,64,238,64,246,42,246
74,238,94,238,94,246,74,246
94,238,114,238,114,248,94,248
149,238,177,238,177,246,149,246
177,238,186,238,186,246,177,246
185,238,204,238,204,246,185,246
204,238,224,238,224,248,204,248
224,238,248,238,248,246,224,246
64,240,73,240,73,246,64,246
42,250,56,250,56,257,42,257
98,250,108,250,108,258,98,258
106,250,120,250,120,257,106,257
121,250,134,250,134,258,121,258
145,250,161,250,161,258,145,258
161,250,180,250,180,258,161,258
180,250,198,250,198,258,180,258
198,250,214,250,214,258,198,258
56,252,65,252,65,257,56,257
82,252,100,252,100,258,82,258
133,252,146,252,146,258,133,258
65,253,81,253,81,257,65,257
276,264,293,264,293,270,276,270
292,264,310,264,310,272,292,272
309,264,322,264,322,272,309,272
324,264,336,264,336,270,324,270
336,265,344,265,344,270,336,270
101,271,120,269,121,278,102,280
184,270,198,270,198,280,184,280
120,272,137,272,137,278,120,278
137,272,150,272,150,278,137,278
